DateStr,MediaGroup,TotalEvents,TotalArticles,TotalMentions,TotalSources,AvgTone,WeightedTone,AvgGoldstein,MinTone,MaxTone,StdTone,Date
2025-03-04,Global/Other,285,1112,1112,289,-2.8972768012418157,-2.8222229955397946,-1.683859649122807,-12.8834355828221,5.46448087431694,2.6483301475957886,2025-03-04
2025-03-04,Western,17,36,36,17,-1.149506994278226,-1.284655336028732,-2.7176470588235295,-3.53982300884956,0.26881720430108,1.2835832636600042,2025-03-04
2025-03-05,Chinese,10,46,46,10,0.6745888012766722,-1.5909079685101448,-0.6599999999999999,-8.49056603773585,4.37956204379562,4.634997026060887,2025-03-05
2025-03-05,Global/Other,298,1170,1206,313,-3.28175831995912,-3.860902997879084,-1.9144295302013423,-14.4578313253012,7.64239365537131,3.6383616969038672,2025-03-05
2025-03-05,Western,31,85,85,31,-4.433830063148595,-4.643477388985709,-2.541935483870968,-7.36842105263158,-2.28337236533958,1.880412080565334,2025-03-05
2025-03-06,Chinese,2,14,14,2,-4.3809523809524,-7.074829931972814,-2.0,-10.6666666666667,1.9047619047619,8.889342392059474,2025-03-06
2025-03-06,Global/Other,244,907,911,244,-3.647624595011119,-3.6690522114657074,-1.4553278688524591,-9.48275862068962,5.41666666666666,2.9859324927684985,2025-03-06
2025-03-06,Western,12,51,51,12,-3.7088218965289244,-2.884547428901883,-2.35,-5.96546310832025,-0.56444026340546,2.3907868593985233,2025-03-06
2025-03-07,Chinese,3,26,26,3,-6.4141414141414,-8.170163170163153,-1.3333333333333333,-12.1212121212121,5.0,9.88493642703449,2025-03-07
2025-03-07,Global/Other,331,1286,1298,344,-3.6584002610392243,-3.657806456656512,-1.761631419939577,-13.0919220055711,3.93700787401574,2.7703576665285943,2025-03-07
2025-03-07,Western,13,29,29,13,-2.403920699621764,-2.337102121186153,-0.7000000000000001,-5.32786885245901,0.41536863966771,1.5573932263853958,2025-03-07
2025-03-08,Chinese,3,12,12,3,-4.9760572053565735,-3.841416898741739,-0.3333333333333333,-5.73248407643313,-3.46320346320346,1.310169772914949,2025-03-08
2025-03-08,Global/Other,155,597,605,163,-3.4531304048074682,-3.313435019216412,-1.9670967741935483,-10.0,6.71671276175424,2.6466885754358573,2025-03-08
2025-03-08,Western,5,24,24,5,-4.848322384927711,-4.68598832836598,-6.279999999999999,-6.55737704918032,-2.68096514745308,1.9655647630811883,2025-03-08
2025-03-09,Chinese,3,12,12,3,0.04462091300625678,-0.6874671019854216,-4.866666666666666,-2.34159779614326,2.97297297297297,2.6984434480895425,2025-03-09
2025-03-09,Global/Other,116,449,449,124,-2.7610523371956748,-2.8019599942258306,-1.793103448275862,-7.31707317073171,3.125,2.18544249975288,2025-03-09
2025-03-09,Western,13,32,32,13,-2.194521706230011,-2.9956482172419943,-1.1846153846153846,-4.74860335195531,0.33898305084746,1.876791340838267,2025-03-09
2025-03-10,Chinese,2,10,10,2,-0.8595988538682,-0.8595988538682,3.0,-0.8595988538682,-0.8595988538682,0.0,2025-03-10
2025-03-10,Global/Other,194,724,724,200,-2.329208349088733,-2.180780954071768,-2.106701030927835,-11.3013698630137,6.19834710743802,2.845033657800556,2025-03-10
2025-03-10,Western,15,44,44,15,-2.0686572605646716,-2.397811564660921,-1.9333333333333333,-4.6583850931677,1.01394169835235,1.5165579510025597,2025-03-10
2025-03-11,Chinese,4,17,17,4,-1.7189026538424523,1.035756296056294,-0.75,-4.37158469945355,3.40264650283553,3.66685595411316,2025-03-11
2025-03-11,Global/Other,177,635,635,185,-1.8129170941283128,-1.7569274736653173,-2.0271186440677966,-14.2011834319527,5.86734693877551,2.962250548500084,2025-03-11
2025-03-11,Western,1,4,4,1,-0.79365079365079,-0.79365079365079,3.0,-0.79365079365079,-0.79365079365079,,2025-03-11
2025-03-12,Chinese,1,10,10,1,-6.86274509803921,-6.86274509803921,-5.0,-6.86274509803921,-6.86274509803921,,2025-03-12
2025-03-12,Global/Other,216,771,796,218,-2.6091506928948784,-2.8731813208976233,-1.5157407407407406,-12.2641509433962,6.00706713780919,3.064862579925382,2025-03-12
2025-03-12,Western,13,39,39,13,-2.479601040483052,-2.6482848536674,-0.5615384615384615,-8.89877641824254,1.875,2.8815817799022083,2025-03-12
2025-03-13,Chinese,2,20,20,2,-2.27272727272727,-2.27272727272727,-1.0,-4.54545454545454,0.0,3.214121732666121,2025-03-13
2025-03-13,Global/Other,167,627,630,168,-1.6832801699958426,-1.6956045949285894,-1.455688622754491,-8.95061728395065,7.23270440251573,2.507919996594554,2025-03-13
2025-03-13,Western,13,48,48,13,-1.8535708645765747,-1.7380501336957834,-1.4000000000000001,-4.96031746031746,0.0,1.5750576437618784,2025-03-13
2025-03-14,Chinese,2,7,7,2,-9.60451977401127,-9.60451977401127,-2.0,-9.60451977401127,-9.60451977401127,0.0,2025-03-14
2025-03-14,Global/Other,149,766,768,172,-1.8295960193091383,-2.1396385351840697,-1.7181208053691275,-6.34755463059314,3.54430379746836,1.9814752443054984,2025-03-14
2025-03-14,Western,17,53,53,17,-3.0453691043543287,-2.365912653896988,-3.823529411764706,-8.00711743772243,-0.48076923076923,2.603271644726412,2025-03-14
2025-03-15,Global/Other,147,619,620,157,-3.18566306679383,-3.0826280482129764,-1.3258503401360544,-13.0232558139535,5.95744680851064,2.9947489702933954,2025-03-15
2025-03-15,Western,1,3,3,1,-3.61990950226244,-3.61990950226244,-0.4,-3.61990950226244,-3.61990950226244,,2025-03-15
2025-03-16,Global/Other,117,367,377,119,-2.348067713265433,-2.259695736397093,-1.8444444444444446,-9.375,6.18279569892473,2.6730043472986296,2025-03-16
2025-03-16,Western,8,35,39,8,-3.5526431930741875,-3.4073802437201177,-3.85,-4.58351696782723,-2.22222222222222,1.1250726964798832,2025-03-16
2025-03-17,Global/Other,161,529,541,162,-2.292380935506722,-2.245013956335533,-1.5608695652173914,-12.6373626373627,5.97345132743363,2.8829646841894396,2025-03-17
2025-03-17,Western,12,26,26,12,-2.2126263265210544,-2.923300598294338,-1.3333333333333333,-5.32767562470533,2.7602523659306,2.2181757211474027,2025-03-17
2025-03-18,Chinese,5,17,17,5,1.6472764228935202,-2.146138867756209,0.08,-5.94059405940594,5.43237250554324,5.356073005051257,2025-03-18
